"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection"
"14","query_1",TRUE,0.997169688775791,17,152,7,0.0460526315789474,0.411764705882353,"GO:0042060","goslim_names","wound healing",588,52,"X,X,X,X,X,X,X","FERMT1,MMP12,XBP1,F2RL2,VAV3,IL33,ABAT"
"16","query_1",TRUE,0.997169688775791,266,152,78,0.513157894736842,0.293233082706767,"GO:0048856","goslim_names","anatomical structure development",588,55,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","FABP7,ROPN1,PROM1,EN1,FOXC1,HORMAD1,FERMT1,SOX8,KRT6B,BCL11A,ZIC1,UGT8,SLC34A2,SOX11,KRT5,SERPINB5,KCNQ4,B3GNT5,IGF2BP3,SOX10,MMP12,CRYAB,DSC3,NRTN,KLF5,CDC20,VANGL2,FZD9,PTX3,KLK5,MYB,FOXA1,XBP1,FRY,SYT1,BEX1,PSMA5,STC2,DUSP4,TFAP2B,MAPT,GSTM3,CYSLTR1,VAV3,WWP1,SYBU,ADAMTS15,DACH1,BMPR1B,IL33,RBM24,SLITRK6,BCAS1,NRK,CNTNAP2,ADIPOQ,AREG,NEK5,LRRC17,GFRA1,TCIM,CEACAM5,AR,LIN7A,LRP2,SYT17,SLC44A4,GATA3,AFF3,ERBB4,ABAT,AGTR1,SCUBE2,DHRS2,CLSTN2,AGR2,PGR,ESR1"
"17","query_1",TRUE,0.997169688775791,79,152,20,0.131578947368421,0.253164556962025,"GO:0048870","goslim_names","cell motility",588,56,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","ROPN1,FOXC1,FERMT1,SOX8,SOX10,MMP12,NRTN,VANGL2,MMP7,XBP1,SYNPO2,CEACAM6,VAV3,DACH1,IL33,ADIPOQ,GFRA1,GATA3,ERBB4,AGTR1"
"18","query_1",TRUE,0.997169688775791,54,152,15,0.0986842105263158,0.277777777777778,"GO:0050877","goslim_names","nervous system process",588,57,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","GABRP,EN1,KCNQ4,SOX10,FZD9,GATM,MAPT,TMEM150C,IL33,SLITRK6,CNTNAP2,PIP,SCNN1A,LRP2,ABAT"
"20","query_1",TRUE,0.997169688775791,19,152,6,0.0394736842105263,0.315789473684211,"GO:0055065","goslim_names","metal ion homeostasis",588,60,"X,X,X,X,X,X","FZD9,STC2,TFAP2B,SCARA5,SCNN1A,AGTR1"
"21","query_1",TRUE,0.997169688775791,72,152,23,0.151315789473684,0.319444444444444,"GO:0055085","goslim_names","transmembrane transport",588,61,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","GABRP,SLC34A2,KCNQ4,SLC7A5,KCNK5,SLC6A14,SLC16A1,PSMA5,GRIK3,WWP1,TMEM150C,TMC5,PDZK1,ADIPOQ,KCNJ3,SCARA5,SCNN1A,ANXA9,SLC7A2,LRP2,SLC44A4,SLC16A6,ABCC11"
"23","query_1",TRUE,0.997169688775791,24,152,7,0.0460526315789474,0.291666666666667,"GO:0061024","goslim_names","membrane organization",588,63,"X,X,X,X,X,X,X","FZD9,SYT1,REEP1,VAV3,CNTNAP2,AR,MPV17L"
"24","query_1",TRUE,0.997169688775791,51,152,10,0.0657894736842105,0.196078431372549,"GO:0065003","goslim_names","protein-containing complex assembly",588,64,"X,X,X,X,X,X,X,X,X,X","FERMT1,BCL11A,CRYAB,SYT1,PSMA5,CLGN,MAPT,SCARA5,LIN7A,ESR1"
"26","query_1",TRUE,0.997169688775791,34,152,7,0.0460526315789474,0.205882352941176,"GO:0098542","goslim_names","defense response to other organism",588,67,"X,X,X,X,X,X,X","MMP12,PTX3,KLK5,PSMA5,IL33,GATA3,DEFB132"
"29","query_1",TRUE,0.997169688775791,109,152,31,0.203947368421053,0.284403669724771,"GO:0012501","goslim_names","programmed cell death",588,38,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","EN1,SHC4,FOXC1,SOX8,KRT5,CDCA7,SOX10,CRYAB,BUB1,FZD9,KLK5,FOXA1,XBP1,CEACAM6,TFAP2B,VAV3,BMPR1B,IL33,TOX3,ADIPOQ,TCIM,PIP,CAPN13,CEACAM5,AR,LRP2,GATA3,MPV17L,ERBB4,DHRS2,ESR1"
"32","query_1",TRUE,0.997169688775791,84,152,17,0.111842105263158,0.202380952380952,"GO:0007155","goslim_names","cell adhesion",588,35,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","FERMT1,MMP12,DSC3,DSG3,MYB,FOXA1,XBP1,CEACAM6,VAV3,CNTNAP2,ADIPOQ,CEACAM5,ANXA9,GATA3,ABAT,CLSTN2,AGR2"
"34","query_1",TRUE,0.997169688775791,85,152,23,0.151315789473684,0.270588235294118,"GO:0002376","goslim_names","immune system process",588,4,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","FOXC1,SOX11,SLC7A5,MMP12,FZD9,PTX3,KLK5,MYB,XBP1,CD300LG,PSMA5,MAPT,CYSLTR1,VAV3,IL33,ADIPOQ,LRRC17,TCIM,PIP,GATA3,DEFB132,DHRS2,ESR1"
"35","query_1",TRUE,0.997169688775791,25,152,5,0.0328947368421053,0.2,"GO:0003012","goslim_names","muscle system process",588,5,"X,X,X,X,X","CRYAB,GATM,KCNJ3,PTGER3,ABAT"
"36","query_1",TRUE,0.997169688775791,39,152,11,0.0723684210526316,0.282051282051282,"GO:0003013","goslim_names","circulatory system process",588,6,"X,X,X,X,X,X,X,X,X,X,X","FOXC1,SLC7A5,SLC16A1,CYSLTR1,ADIPOQ,KCNJ3,AR,SLC7A2,LRP2,ABAT,AGTR1"
"38","query_1",TRUE,0.997169688775791,23,152,5,0.0328947368421053,0.217391304347826,"GO:0005975","goslim_names","carbohydrate metabolic process",588,9,"X,X,X,X,X","INPP4B,TFAP2B,ADIPOQ,TFF3,TFF1"
"39","query_1",TRUE,0.997169688775791,16,152,3,0.0197368421052632,0.1875,"GO:0006091","goslim_names","generation of precursor metabolites and energy",588,10,"X,X,X","ADH1B,ADIPOQ,DHRS2"
"40","query_1",TRUE,0.997169688775791,15,152,4,0.0263157894736842,0.266666666666667,"GO:0006260","goslim_names","DNA replication",588,11,"X,X,X,X","MCM10,PSMA5,POLI,DACH1"
"43","query_1",TRUE,0.997169688775791,18,152,4,0.0263157894736842,0.222222222222222,"GO:0006325","goslim_names","chromatin organization",588,14,"X,X,X,X","MYB,FOXA1,GATA3,ESR1"
"44","query_1",TRUE,0.997169688775791,129,152,34,0.223684210526316,0.263565891472868,"GO:0006351","goslim_names","transcription, DNA-templated",588,15,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","VGLL1,EN1,FOXC1,ELF5,SOX8,BCL11A,ZIC1,SOX11,CDCA7,SOX10,MMP12,CRYAB,KLF5,MYB,FOXA1,XBP1,BEX1,PSMA5,TFAP2B,ZNF552,WWP1,FABP4,DACH1,BMPR1B,IL33,TOX3,ADIPOQ,TCIM,AR,GATA3,AFF3,ERBB4,PGR,ESR1"
"45","query_1",TRUE,0.997169688775791,129,152,34,0.223684210526316,0.263565891472868,"GO:0006355","goslim_names","regulation of transcription, DNA-templated",588,16,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","VGLL1,EN1,FOXC1,ELF5,SOX8,BCL11A,ZIC1,SOX11,CDCA7,SOX10,MMP12,CRYAB,KLF5,MYB,FOXA1,XBP1,BEX1,PSMA5,TFAP2B,ZNF552,WWP1,FABP4,DACH1,BMPR1B,IL33,TOX3,ADIPOQ,TCIM,AR,GATA3,AFF3,ERBB4,PGR,ESR1"
"46","query_1",TRUE,0.997169688775791,20,152,2,0.0131578947368421,0.1,"GO:0140014","goslim_names","mitotic nuclear division",588,70,"X,X","BUB1,CDC20"
"50","query_1",TRUE,0.997169688775791,64,152,20,0.131578947368421,0.3125,"GO:0006629","goslim_names","lipid metabolic process",588,22,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X","UGT8,B3GNT5,SLC16A1,INPP4B,XBP1,VAV3,THRSP,SLC27A2,ACADSB,ADH1B,ADIPOQ,ACOX2,CYP4B1,LRP2,SLC44A4,ERBB4,AGTR1,DHRS2,CYP4Z1,ESR1"
"53","query_1",TRUE,0.997169688775791,28,152,10,0.0657894736842105,0.357142857142857,"GO:0006886","goslim_names","intracellular protein transport",588,25,"X,X,X,X,X,X,X,X,X,X","FERMT1,ZIC1,MMP12,XBP1,PDZK1,ADIPOQ,SYTL5,MYRIP,RAB27B,MLPH"
"55","query_1",TRUE,0.997169688775791,25,152,3,0.0197368421052632,0.12,"GO:0006914","goslim_names","autophagy",588,27,"X,X,X","XBP1,SYNPO2,MAPT"
"56","query_1",TRUE,0.997169688775791,36,152,11,0.0723684210526316,0.305555555555556,"GO:0006954","goslim_names","inflammatory response",588,28,"X,X,X,X,X,X,X,X,X,X,X","PTX3,MAPT,CYSLTR1,FABP4,BMPR1B,IL33,ADIPOQ,PTGER3,GATA3,AGTR1,ESR1"
"57","query_1",TRUE,0.997169688775791,15,152,4,0.0263157894736842,0.266666666666667,"GO:0007005","goslim_names","mitochondrion organization",588,29,"X,X,X,X","FZD9,MAPT,MPV17L,ERBB4"
"58","query_1",TRUE,0.997169688775791,67,152,9,0.0592105263157895,0.134328358208955,"GO:0007010","goslim_names","cytoskeleton organization",588,30,"X,X,X,X,X,X,X,X,X","KRT6B,UGT8,KRT5,CRYAB,CDC20,SLC16A1,SYNPO2,MAPT,NRK"
"59","query_1",TRUE,0.997169688775791,17,152,5,0.0328947368421053,0.294117647058824,"GO:0007018","goslim_names","microtubule-based movement",588,31,"X,X,X,X,X","ROPN1,MAPT,SYBU,DYNLRB2,RAB27B"
"60","query_1",TRUE,0.997169688775791,20,152,3,0.0197368421052632,0.15,"GO:0007059","goslim_names","chromosome segregation",588,34,"X,X,X","HORMAD1,BUB1,CDC20"
"62","query_1",TRUE,0.997169688775791,45,152,9,0.0592105263157895,0.2,"GO:1901135","goslim_names","carbohydrate derivative metabolic process",588,72,"X,X,X,X,X,X,X,X,X","FOXC1,UGT8,B3GNT5,MMP12,PTX3,GUCY1A2,GALNT6,BMPR1B,IL33"
